cgr,aa,bb,cc,va,dd,hh,ss
1OW,0.1066,0.1066,0.1066,0.1066,0.1066,0.1066,0.1066
7HB,0.1071,0.1071,0.1071,0.1071,0.1071,0.1071,0.1071
1OE,0.1076,0.1076,0.1076,0.1076,0.1076,0.1076,0.1076
1OD,0.1082,0.1082,0.1082,0.1082,0.1082,0.1082,0.1082
I9Y,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087
NYF,0.1093,0.1093,0.1093,0.1093,0.1093,0.1093,0.1093
SN8,0.1098,0.1098,0.1098,0.1098,0.1098,0.1098,0.1098
KYM,0.1104,0.1104,0.1104,0.1104,0.1104,0.1104,0.1104
SPM,0.1109,0.1109,0.1109,0.1109,0.1109,0.1109,0.1109
SPD,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115
PKG,0.1120,0.1120,0.1120,0.1120,0.1120,0.1120,0.1120
BW3,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126
34M,0.1131,0.1131,0.1131,0.1131,0.1131,0.1131,0.1131
SP2,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137
XPF,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143
IXS,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148
Y17,0.1154,0.1154,0.1154,0.1154,0.1154,0.1154,0.1154
IXQ,0.1160,0.1160,0.1160,0.1160,0.1160,0.1160,0.1160
XPV,0.1166,0.1166,0.1166,0.1166,0.1166,0.1166,0.1166
KRQ,0.1172,0.1172,0.1172,0.1172,0.1172,0.1172,0.1172
NY8,0.1177,0.1177,0.1177,0.1177,0.1177,0.1177,0.1177
Z6O,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183
JNT,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189
NY6,0.1195,0.1195,0.1195,0.1195,0.1195,0.1195,0.1195
QE1,0.1201,0.1201,0.1201,0.1201,0.1201,0.1201,0.1201
PQR,0.1207,0.1207,0.1207,0.1207,0.1207,0.1207,0.1207
PQT,0.1213,0.1213,0.1213,0.1213,0.1213,0.1213,0.1213
I96,0.1219,0.1219,0.1219,0.1219,0.1219,0.1219,0.1219
L7D,0.1225,0.1225,0.1225,0.1225,0.1225,0.1225,0.1225
AH7,0.1231,0.1231,0.1231,0.1231,0.1231,0.1231,0.1231
